branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
0,0,18,1,1,ecal,6,21,10.2,1
1,0,18,2,1,ecal,7,21,10.2,1
2,0,18,3,1,ecal,8,21,10.2,1
3,0,18,4,1,ecal,9,21,10.2,1
4,0,18,5,1,ecal,10,21,10.2,1
5,0,18,6,1,ecal,10,22,10.2,1
6,0,18,7,1,ecal,9,22,10.2,1
7,0,18,8,1,ecal,8,22,10.2,1
8,0,18,9,1,ecal,7,22,10.2,1
9,0,18,10,1,ecal,6,22,10.2,1
10,0,18,11,1,ecal,6,23,10.2,1
11,0,18,12,1,ecal,7,23,10.2,1
12,0,18,13,1,ecal,8,23,10.2,1
13,0,18,14,1,ecal,9,23,10.2,1
14,0,18,15,1,ecal,10,23,10.2,1
15,0,18,16,1,ecal,10,24,10.2,1
16,0,18,17,1,ecal,9,24,10.2,1
17,0,18,18,1,ecal,8,24,10.2,1
18,0,18,19,1,ecal,7,24,10.2,1
19,0,18,20,1,ecal,6,24,10.2,1
20,0,18,21,1,ecal,6,25,10.2,1
21,0,18,22,1,ecal,7,25,10.2,1
22,0,18,23,1,ecal,8,25,10.2,1
23,0,18,24,1,ecal,9,25,10.2,1
24,0,18,25,1,ecal,10,25,10.2,1
25,0,2,1,1,ecal,10,5,10.2,1
26,0,2,2,1,ecal,9,5,10.2,1
27,0,2,3,1,ecal,8,5,10.2,1
28,0,2,4,1,ecal,7,5,10.2,1
29,0,2,5,1,ecal,6,5,10.2,1
30,0,2,6,1,ecal,6,4,10.2,1
31,0,2,7,1,ecal,7,4,10.2,1
32,0,2,8,1,ecal,8,4,10.2,1
33,0,2,9,1,ecal,9,4,10.2,1
34,0,2,10,1,ecal,10,4,10.2,1
35,0,2,11,1,ecal,10,3,10.2,1
36,0,2,12,1,ecal,9,3,10.2,1
37,0,2,13,1,ecal,8,3,10.2,1
38,0,2,14,1,ecal,7,3,10.2,1
39,0,2,15,1,ecal,6,3,10.2,1
40,0,2,16,1,ecal,6,2,10.2,1
41,0,2,17,1,ecal,7,2,10.2,1
42,0,2,18,1,ecal,8,2,10.2,1
43,0,2,19,1,ecal,9,2,10.2,1
44,0,2,20,1,ecal,10,2,10.2,1
45,0,2,21,1,ecal,10,1,10.2,1
46,0,2,22,1,ecal,9,1,10.2,1
47,0,2,23,1,ecal,8,1,10.2,1
48,0,2,24,1,ecal,7,1,10.2,1
49,0,2,25,1,ecal,6,1,10.2,1
50,0,5,1,1,ecal,5,10,10.2,1
51,0,5,2,1,ecal,4,10,10.2,1
52,0,5,3,1,ecal,3,10,10.2,1
53,0,5,4,1,ecal,2,10,10.2,1
54,0,5,5,1,ecal,1,10,10.2,1
55,0,5,6,1,ecal,1,9,10.2,1
56,0,5,7,1,ecal,2,9,10.2,1
57,0,5,8,1,ecal,3,9,10.2,1
58,0,5,9,1,ecal,4,9,10.2,1
59,0,5,10,1,ecal,5,9,10.2,1
60,0,5,11,1,ecal,5,8,10.2,1
61,0,5,12,1,ecal,4,8,10.2,1
62,0,5,13,1,ecal,3,8,10.2,1
63,0,5,14,1,ecal,2,8,10.2,1
64,0,5,15,1,ecal,1,8,10.2,1
65,0,5,16,1,ecal,1,7,10.2,1
66,0,5,17,1,ecal,2,7,10.2,1
67,0,5,18,1,ecal,3,7,10.2,1
68,0,5,19,1,ecal,4,7,10.2,1
69,0,5,20,1,ecal,5,7,10.2,1
70,0,5,21,1,ecal,5,6,10.2,1
71,0,5,22,1,ecal,4,6,10.2,1
72,0,5,23,1,ecal,3,6,10.2,1
73,0,5,24,1,ecal,2,6,10.2,1
74,0,5,25,1,ecal,1,6,10.2,1
75,0,6,1,1,ecal,10,10,10.2,1
76,0,6,2,1,ecal,9,10,10.2,1
77,0,6,3,1,ecal,8,10,10.2,1
78,0,6,4,1,ecal,7,10,10.2,1
79,0,6,5,1,ecal,6,10,10.2,1
80,0,6,6,1,ecal,6,9,10.2,1
81,0,6,7,1,ecal,7,9,10.2,1
82,0,6,8,1,ecal,8,9,10.2,1
83,0,6,9,1,ecal,9,9,10.2,1
84,0,6,10,1,ecal,10,9,10.2,1
85,0,6,11,1,ecal,10,8,10.2,1
86,0,6,12,1,ecal,9,8,10.2,1
87,0,6,13,1,ecal,8,8,10.2,1
88,0,6,14,1,ecal,7,8,10.2,1
89,0,6,15,1,ecal,6,8,10.2,1
90,0,6,16,1,ecal,6,7,10.2,1
91,0,6,17,1,ecal,7,7,10.2,1
92,0,6,18,1,ecal,8,7,10.2,1
93,0,6,19,1,ecal,9,7,10.2,1
94,0,6,20,1,ecal,10,7,10.2,1
95,0,6,21,1,ecal,10,6,10.2,1
96,0,6,22,1,ecal,9,6,10.2,1
97,0,6,23,1,ecal,8,6,10.2,1
98,0,6,24,1,ecal,7,6,10.2,1
99,0,6,25,1,ecal,6,6,10.2,1
100,0,9,1,1,ecal,5,15,10.2,1
101,0,9,2,1,ecal,4,15,10.2,1
102,0,9,3,1,ecal,3,15,10.2,1
103,0,9,4,1,ecal,2,15,10.2,1
104,0,9,5,1,ecal,1,15,10.2,1
105,0,9,6,1,ecal,1,14,10.2,1
106,0,9,7,1,ecal,2,14,10.2,1
107,0,9,8,1,ecal,3,14,10.2,1
108,0,9,9,1,ecal,4,14,10.2,1
109,0,9,10,1,ecal,5,14,10.2,1
110,0,9,11,1,ecal,5,13,10.2,1
111,0,9,12,1,ecal,4,13,10.2,1
112,0,9,13,1,ecal,3,13,10.2,1
113,0,9,14,1,ecal,2,13,10.2,1
114,0,9,15,1,ecal,1,13,10.2,1
115,0,9,16,1,ecal,1,12,10.2,1
116,0,9,17,1,ecal,2,12,10.2,1
117,0,9,18,1,ecal,3,12,10.2,1
118,0,9,19,1,ecal,4,12,10.2,1
119,0,9,20,1,ecal,5,12,10.2,1
120,0,9,21,1,ecal,5,11,10.2,1
121,0,9,22,1,ecal,4,11,10.2,1
122,0,9,23,1,ecal,3,11,10.2,1
123,0,9,24,1,ecal,2,11,10.2,1
124,0,9,25,1,ecal,1,11,10.2,1
125,0,10,1,1,ecal,10,15,10.2,1
126,0,10,2,1,ecal,9,15,10.2,1
127,0,10,3,1,ecal,8,15,10.2,1
128,0,10,4,1,ecal,7,15,10.2,1
129,0,10,5,1,ecal,6,15,10.2,1
130,0,10,6,1,ecal,6,14,10.2,1
131,0,10,7,1,ecal,7,14,10.2,1
132,0,10,8,1,ecal,8,14,10.2,1
133,0,10,9,1,ecal,9,14,10.2,1
134,0,10,10,1,ecal,10,14,10.2,1
135,0,10,11,1,ecal,10,13,10.2,1
136,0,10,12,1,ecal,9,13,10.2,1
137,0,10,13,1,ecal,8,13,10.2,1
138,0,10,14,1,ecal,7,13,10.2,1
139,0,10,15,1,ecal,6,13,10.2,1
140,0,10,16,1,ecal,6,12,10.2,1
